12,2.01,,,
12,2.19,,,
13,2.2,,,
13,2.31,,,
13,2.29,,,
14,2.58,,,
14,2.64,,,
14,2.69,,,
14,2.9,,,
15,3.22,,,
15,2.7,,,
15,3.26,,,
15,2.96,,,
15,2.86,,,
15,2.96,,,
15,2.84,,,
15,2.85,,,
15,3.06,,,
15,3.05,,,
15,3.05,,,
15,2.95,,,
16,3.16,,,
16,3.4,,,
16,3.51,,,
16,3.37,,,
16,3.44,,,
16,3.4,,,
16,3.27,,,
16,3.34,,,
16,3.21,,,
16,3.42,,,
16,3.16,,,
16,3.17,,,
16,3.21,,,
16,2.94,,,
16,3.49,,,
16,3.35,,,
16,3.21,,,
16,3.48,,,
16,3.09,,,
16,3.29,,,
16,3.28,,,
16,3.35,,,
16,3.35,,,
16,3.2,,,
16,3.3,,,
16,3.29,,,
16,3.39,,,
16,3.44,,,
16,3.45,,,
16,3.2,,,
16,3.32,,,
16,3.15,,,
17,3.4,,,
17,3.61,,,
17,3.89,,,
17,3.47,,,
17,3.68,,,
17,3.57,,,
17,3.82,,,
17,3.41,,,
17,3.62,,,
17,3.71,,,
17,3.81,,,
17,3.9,,,
17,3.63,,,
17,3.33,,,
17,3.47,,,
17,3.41,,,
17,4.05,,,
17,3.5,,,
17,3.75,,,
17,3.58,,,
17,3.78,,,
17,3.47,,,
17,3.35,,,
17,3.35,,,
17,3.7,,,
17,3.58,,,
17,3.57,,,
17,3.87,,,
17,3.66,,,
17,3.65,,,
17,3.91,,,
17,3.46,,,
17,3.74,,,
17,3.77,,,
17,3.57,,,
17,3.65,,,
18,3.82,,,
18,3.82,,,
18,3.98,,,
18,4.06,,,
18,4.31,,,
18,3.88,,,
18,3.99,,,
18,3.96,,,
18,3.71,,,
18,3.91,,,
18,3.73,,,
18,4.08,,,
18,3.85,,,
18,3.98,,,
18,3.9,,,
18,4.01,,,
18,3.89,,,
18,4.03,,,
18,4.06,,,
18,4.19,,,
18,3.94,,,
18,3.69,,,
18,3.86,,,
18,4.15,,,
19,4.07,,,
19,4.48,,,
19,4.31,,,
19,4.58,,,
19,3.9,,,
19,4.25,,,
19,4.05,,,
19,4.87,,,
19,4.45,,,
19,4.57,,,
19,4.08,,,
19,4.2,,,
19,4.23,,,
19,4.51,,,
19,4.23,,,
19,4.43,,,
19,3.88,,,
19,4.22,,,
19,4.12,,,
19,3.97,,,
19,4.39,,,
19,4.35,,,
19,4.3,,,
20,4.29,,,
20,4.95,,,
20,4.74,,,
20,4.57,,,
20,4.65,,,
20,4.58,,,
20,4.18,,,
20,4.57,,,
20,4.43,,,
20,4.39,,,
20,4.34,,,
20,4.51,,,
20,4.11,,,
20,4.91,,,
20,4.79,,,
20,4.64,,,
20,4.64,,,
20,4.44,,,
20,4.92,,,
21,4.84,,,
21,4.73,,,
21,5.14,,,
21,4.82,,,
21,4.75,,,
21,4.81,,,
21,4.7,,,
21,4.65,,,
21,5.37,,,
21,5.2,,,
21,4.93,,,
21,4.62,,,
21,4.7,,,
21,4.83,,,
21,5.03,,,
21,4.61,,,
21,4.41,,,
21,4.58,,,
21,4.94,,,
21,4.95,,,
21,4.96,,,
21,4.84,,,
21,4.91,,,
21,4.78,,,
21,5.04,,,
21,4.6,,,
21,4.96,,,
22,4.89,,,
22,5.05,,,
22,5.34,,,
22,5.5,,,
22,4.8,,,
22,5.57,,,
22,5.38,,,
22,5.14,,,
22,5.1,,,
22,5.09,,,
22,5.07,,,
22,5.17,,,
22,5.18,,,
22,5.43,,,
22,5.65,,,
22,5.31,,,
22,5.1,,,
22,5.36,,,
22,5.22,,,
22,4.83,,,
22,5.47,,,
22,5.26,,,
22,5.21,,,
22,5.33,,,
22,5.25,,,
22,4.86,,,
22,5.11,,,
23,5.46,,,
23,5.34,,,
23,6,,,
23,5.24,,,
23,5.36,,,
23,5.29,,,
23,5.15,,,
23,5.44,,,
23,5.42,,,
23,5.96,,,
23,5.43,,,
23,5.19,,,
23,5.98,,,
23,5.87,,,
23,5.43,,,
23,5.05,,,
23,5.37,,,
23,5.46,,,
23,5.58,,,
23,5.42,,,
23,5.63,,,
24,5.99,,,
24,5.63,,,
24,5.7,,,
24,5.75,,,
24,5.8,,,
24,5.84,,,
24,5.91,,,
24,5.25,,,
24,5.81,,,
24,6.18,,,
24,5.67,,,
24,6.11,,,
24,5.98,,,
24,5.9,,,
24,5.95,,,
24,5.57,,,
24,5.89,,,
24,6.26,,,
24,5.93,,,
24,5.92,,,
24,5.75,,,
24,5.9,,,
24,5.96,,,
24,6,,,
25,6.11,,,
25,6.13,,,
25,6.43,,,
25,5.85,,,
25,6.46,,,
25,6.2,,,
25,6.29,,,
25,5.93,,,
25,6.08,,,
25,6.12,,,
25,6.22,,,
25,5.93,,,
25,6.22,,,
25,6,,,
25,6.17,,,
25,6.25,,,
26,6.42,,,
26,6.62,,,
26,6.6,,,
26,6.16,,,
26,6.4,,,
26,6.09,,,
26,5.99,,,
26,6.58,,,
26,6.34,,,
26,6.32,,,
26,6.58,,,
26,6.49,,,
26,6.43,,,
26,6.67,,,
26,6.58,,,
26,6.4,,,
26,6.15,,,
26,6.16,,,
26,6.65,,,
26,5.91,,,
26,6.33,,,
26,5.82,,,
27,6.88,,,
27,6.86,,,
27,6.72,,,
27,6.71,,,
27,6.31,,,
27,6.81,,,
27,6.36,,,
27,6.34,,,
27,6.73,,,
27,6.56,,,
27,6.78,,,
27,6.83,,,
27,6.86,,,
27,6.6,,,
27,6.79,,,
27,6.73,,,
27,6.85,,,
28,7.13,,,
28,7.2,,,
28,7,,,
28,7,,,
28,7.22,,,
28,6.62,,,
28,6.93,,,
28,6.79,,,
28,6.95,,,
28,7.15,,,
28,7.19,,,
28,6.83,,,
28,6.94,,,
28,7.05,,,
28,6.97,,,
28,7.09,,,
28,7.1,,,
29,7.12,,,
29,7.23,,,
29,6.95,,,
29,7.41,,,
29,7.16,,,
29,7.08,,,
29,7.22,,,
29,7.05,,,
29,7.25,,,
29,7.17,,,
29,7.56,,,
30,7.73,,,
30,6.88,,,
30,7.57,,,
30,7.14,,,
30,7.41,,,
30,7.5,,,
30,7.64,,,
30,7.4,,,
30,7.83,,,
30,7.35,,,
30,7.54,,,
30,7.62,,,
30,7.49,,,
30,7.67,,,
30,7.54,,,
30,7.28,,,
30,7.04,,,
31,8.04,,,
31,7.47,,,
31,7.63,,,
31,7.74,,,
31,7.63,,,
31,7.4,,,
31,7.5,,,
31,7.58,,,
31,7.95,,,
31,7.41,,,
31,7.79,,,
31,7.68,,,
31,7.55,,,
31,7.36,,,
31,7.54,,,
31,7.59,,,
31,7.27,,,
31,7.65,,,
31,7.42,,,
31,7.59,,,
32,7.89,,,
32,7.61,,,
32,7.75,,,
32,7.89,,,
32,7.4,,,
32,8.04,,,
32,8.35,,,
32,8.03,,,
32,7.74,,,
32,7.91,,,
33,7.94,,,
33,8.7,,,
33,8.45,,,
33,8.41,,,
33,7.98,,,
33,8.29,,,
33,8.06,,,
33,8.13,,,
33,8.06,,,
33,7.94,,,
33,7.97,,,
33,8.15,,,
33,7.77,,,
33,8.37,,,
33,8.18,,,
33,8.39,,,
33,8.28,,,
33,8.34,,,
33,7.82,,,
33,7.94,,,
33,8.09,,,
33,8.24,,,
34,8.53,,,
34,8.25,,,
34,8.56,,,
34,8.4,,,
34,8.54,,,
34,8.33,,,
34,8.17,,,
34,8.01,,,
34,8.34,,,
34,8.47,,,
34,8.25,,,
34,8.2,,,
34,8.24,,,
34,8.09,,,
34,8.21,,,
34,8.27,,,
34,8.32,,,
34,8.29,,,
34,8.43,,,
34,8.33,,,
34,8.67,,,
34,8.37,,,
35,8.98,,,
35,8.56,,,
35,8.77,,,
35,8.64,,,
35,8.78,,,
35,8.78,,,
35,8.32,,,
36,8.58,,,
36,8.56,,,
36,8.86,,,
36,9.03,,,
36,8.74,,,
36,8.92,,,
36,8.88,,,
36,8.62,,,
36,8.86,,,
36,8.67,,,
36,9.04,,,
36,8.79,,,
36,9.06,,,
36,8.73,,,
36,8.89,,,
36,8.78,,,
36,8.47,,,
36,8.64,,,
36,8.89,,,
37,8.9,,,
37,8.65,,,
37,8.76,,,
37,8.97,,,
37,8.68,,,
37,9.14,,,
37,8.76,,,
37,9.34,,,
38,8.78,,,
38,9.23,,,
38,8.63,,,
38,8.9,,,
38,8.95,,,
38,9.3,,,
38,9.48,,,
38,9.26,,,
38,9.03,,,
38,9.44,,,
38,9.43,,,
38,9.2,,,
38,9.36,,,
38,9.3,,,
38,8.81,,,
39,9.6,,,
39,8.93,,,
39,8.96,,,
39,9.33,,,
39,9.1,,,
39,9.18,,,
39,9.52,,,
39,9.74,,,
39,9.15,,,
39,9.4,,,
39,9.13,,,
39,9.35,,,
39,9.45,,,
39,8.95,,,
39,9.37,,,
39,9.53,,,
39,9.29,,,
39,10.06,,,
39,8.96,,,
39,8.9,,,
39,8.42,,,
39,9.67,,,
39,9.65,,,
39,9.21,,,
39,9.67,,,
39,9.33,,,
39,9.38,,,
39,9.3,,,
39,9.45,,,
39,9.29,,,
39,10.56,,,
39,8.69,,,
39,8.37,,,
39,8.71,,,
39,8.73,,,
39,9.04,,,
40,9.37,,,
40,9.36,,,
40,9.57,,,
40,9.53,,,
40,9.63,,,
40,9.91,,,
40,9.76,,,
40,9.07,,,
40,8.78,,,
40,9.67,,,
40,8.92,,,
